Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
259,Fran Beltrán,ESP,MF,Celta Vigo,La Liga,25,1999,14.5,1,11,1,9.1,0.76,0.07,0.09,1,24.9,0,0,0,0.4,0.4,0.03,0.6,0.6
260,Lucas Beltrán,ARG,"MF,FW",Fiorentina,Serie A,23,2001,11.3,4,18,4,22.2,1.59,0.35,0.11,0.5,16.8,0,2,2,3.9,2.4,0.13,0.1,-0.4
261,Eliesse Ben Seghir,MAR,"MF,FW",Monaco,Ligue 1,19,2005,13.6,5,44,16,36.4,3.24,1.18,0.07,0.19,21.5,3,2,2,4.6,3.2,0.07,0.4,-0.2
262,Carlos Benavídez,URU,MF,Alavés,La Liga,26,1998,3.5,1,3,1,33.3,0.85,0.28,0.33,1,25.1,0,0,0,0.1,0.1,0.04,0.9,0.9
263,Adrian Benedyczak,POL,"FW,MF",Parma,Serie A,24,2000,2.2,0,3,0,0,1.37,0,0,0,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
264,László Bénes,SVK,"MF,FW",Union Berlin,Bundesliga,27,1997,3.2,1,8,5,62.5,2.49,1.56,0.13,0.2,23.7,1,0,0,0.4,0.4,0.05,0.6,0.6
265,Iker Benito,ESP,"FW,MF",Osasuna,La Liga,22,2002,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Ismaël Bennacer,ALG,MF,Milan,Serie A,27,1997,2.8,0,3,2,66.7,1.06,0.71,0,0,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
267,Saïd Benrahma,ALG,"FW,MF",Lyon,Ligue 1,29,1995,8.2,1,17,4,23.5,2.08,0.49,0.06,0.25,20.2,1,0,0,2,2,0.12,-1,-1
268,Ramy Bensebaini,ALG,DF,Dortmund,Bundesliga,29,1995,11.8,1,10,2,20,0.85,0.17,0.1,0.5,14.8,0,0,0,0.5,0.5,0.05,0.5,0.5
269,Rodrigo Bentancur,URU,MF,Tottenham,Premier League,27,1997,8.6,2,15,3,20,1.74,0.35,0.13,0.67,20.1,0,0,0,0.8,0.8,0.06,1.2,1.2
270,Lucas Beraldo,BRA,DF,Paris S-G,Ligue 1,21,2003,12.1,1,5,3,60,0.41,0.25,0.2,0.33,13.4,0,0,0,0.5,0.5,0.09,0.5,0.5
271,Yuri Berchiche,ESP,DF,Athletic Club,La Liga,34,1990,13.2,0,10,3,30,0.76,0.23,0,0,24.7,2,0,0,0.4,0.4,0.04,-0.4,-0.4
272,Álex Berenguer,ESP,"FW,MF",Athletic Club,La Liga,29,1995,13.2,5,32,12,37.5,2.43,0.91,0.16,0.42,17.7,0,0,1,5.4,4.6,0.14,-0.4,0.4
273,Sander Berge,NOR,MF,Fulham,Premier League,26,1998,12.6,0,1,0,0,0.08,0,0,0,6.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1
274,Lucas Bergvall,SWE,MF,Tottenham,Premier League,18,2006,6.2,0,4,0,0,0.64,0,0,0,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
275,Medon Berisha,ALB,MF,Lecce,Serie A,21,2003,2.7,0,9,4,44.4,3.36,1.49,0,0,29.6,1,0,0,0.2,0.2,0.03,-0.2,-0.2
276,Mergim Berisha,GER,"FW,MF",Hoffenheim,Bundesliga,26,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,16,1,0,0,1,1,0.09,0,0
277,Adrian Bernabe,ESP,MF,Parma,Serie A,23,2001,10,0,19,1,5.3,1.91,0.1,0,0,27.3,5,0,0,0.6,0.6,0.03,-0.6,-0.6
278,Marc Bernal,ESP,MF,Barcelona,La Liga,17,2007,2.7,0,2,1,50,0.74,0.37,0,0,26,0,0,0,0.1,0.1,0.03,-0.1,-0.1
279,Bernardo,BRA,DF,Bochum,Bundesliga,29,1995,7.8,0,2,1,50,0.26,0.13,0,0,7.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
280,Juan Bernat,ESP,"DF,MF",Villarreal,La Liga,31,1993,2.4,0,2,1,50,0.85,0.42,0,0,17.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3
281,Alexander Bernhardsson,SWE,"MF,DF",Holstein Kiel,Bundesliga,26,1998,6.1,2,10,4,40,1.65,0.66,0.2,0.5,16,0,0,0,1.3,1.3,0.13,0.7,0.7
282,Victor Bernth Kristiansen,DEN,DF,Leicester City,Premier League,22,2002,19.5,0,1,0,0,0.05,0,0,0,16.7,0,0,0,0.3,0.3,0.28,-0.3,-0.3
283,Matúš Bero,SVK,MF,Bochum,Bundesliga,29,1995,15.2,3,13,5,38.5,0.85,0.33,0.23,0.6,17.1,0,0,0,1.5,1.5,0.11,1.5,1.5
284,Juan Berrocal,ESP,DF,Getafe,La Liga,25,1999,6.8,0,2,0,0,0.29,0,0,0,10.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2
285,Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26,1998,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Beto,GNB,FW,Everton,Premier League,27,1998,3.5,1,12,4,33.3,3.41,1.14,0.08,0.25,11.4,0,0,0,1.7,1.7,0.14,-0.7,-0.7
287,Sam Beukema,NED,DF,Bologna,Serie A,26,1998,20.5,0,9,3,33.3,0.44,0.15,0,0,10.5,0,0,0,0.8,0.8,0.09,-0.8,-0.8
288,Alessandro Bianco,ITA,MF,Monza,Serie A,22,2002,15,1,17,3,17.6,1.13,0.2,0.06,0.33,21.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1
289,Alessandro Bianco,ITA,MF,Fiorentina,Serie A,22,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Mika Biereth,DEN,FW,Monaco,Ligue 1,21,2003,2,1,8,5,62.5,4,2.5,0.13,0.2,13.5,0,0,0,1,1,0.12,0,0
291,Jaka Bijol,SVN,DF,Udinese,Serie A,25,1999,20,1,14,4,28.6,0.7,0.2,0.07,0.25,13.1,0,0,0,1.3,1.3,0.09,-0.3,-0.3
292,El Bilal Touré,MLI,"FW,MF",Stuttgart,Bundesliga,23,2001,3.5,2,14,4,28.6,4.01,1.15,0.14,0.5,15.2,0,0,0,1.6,1.6,0.12,0.4,0.4
293,Philip Billing,DEN,MF,Bournemouth,Premier League,28,1996,2,0,5,1,20,2.45,0.49,0,0,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6
294,Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,32,1992,4.8,1,5,2,40,1.04,0.42,0.2,0.5,26.2,3,0,0,0.2,0.2,0.03,0.8,0.8
295,Samuele Birindelli,ITA,"DF,MF",Monza,Serie A,25,1999,6.2,1,5,4,80,0.81,0.65,0.2,0.25,14.8,0,0,0,0.4,0.4,0.09,0.6,0.6
296,Tom Bischof,GER,"MF,FW",Hoffenheim,Bundesliga,19,2005,14.8,2,25,8,32,1.68,0.54,0.08,0.25,22.1,1,0,0,1,1,0.04,1,1
297,Yves Bissouma,MLI,MF,Tottenham,Premier League,28,1996,10.8,2,5,2,40,0.46,0.19,0.4,1,22.7,0,0,0,0.4,0.4,0.07,1.6,1.6
298,Leonardo Bittencourt,GER,MF,Werder Bremen,Bundesliga,31,1993,6.9,2,20,7,35,2.88,1.01,0.1,0.29,21.1,1,0,0,1.3,1.3,0.06,0.7,0.7
299,Emmanuel Biumla,FRA,DF,Angers,Ligue 1,19,2005,11.6,1,3,2,66.7,0.26,0.17,0.33,0.5,6.9,0,0,0,0.7,0.7,0.24,0.3,0.3
300,Marco Bizot,NED,GK,Brest,Ligue 1,33,1991,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Bjarki Bjarkason,ISL,"DF,MF",Venezia,Serie A,24,2000,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Antonio Blanco,ESP,MF,Alavés,La Liga,24,2000,14.8,0,14,1,7.1,0.95,0.07,0,0,24.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6
303,Ludovic Blas,FRA,"MF,FW",Rennes,Ligue 1,27,1997,17.4,5,43,22,51.2,2.48,1.27,0.12,0.23,17.2,1,0,0,4.1,4.1,0.09,0.9,0.9
304,Daley Blind,NED,DF,Girona,La Liga,34,1990,15.4,0,4,2,50,0.26,0.13,0,0,19,0,0,0,0.2,0.2,0.04,-0.2,-0.2
305,Myron Boadu,NED,FW,Bochum,Bundesliga,24,2001,5.7,5,15,7,46.7,2.61,1.22,0.27,0.57,12.4,0,1,1,4.5,3.7,0.25,0.5,0.3
306,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,Ligue 1,24,2000,6.3,3,19,9,47.4,3.01,1.42,0.16,0.33,20,1,0,0,1.4,1.4,0.08,1.6,1.6
307,Sacha Boey,FRA,DF,Bayern Munich,Bundesliga,24,2000,3.1,0,1,0,0,0.32,0,0,0,14.2,0,0,0,0,0,0.04,0,0
308,Jeremie Boga,CIV,"MF,FW",Nice,Ligue 1,28,1997,6.9,0,17,9,52.9,2.46,1.3,0,0,16,2,0,0,1.3,1.3,0.08,-1.3,-1.3
309,Lamare Bogarde,NED,"DF,MF",Aston Villa,Premier League,21,2004,3,0,1,1,100,0.34,0.34,0,0,20.2,0,0,0,0,0,0.04,0,0
310,Emil Bohinen,NOR,MF,Genoa,Serie A,25,1999,1.8,0,2,0,0,1.08,0,0,0,28.6,1,0,0,0.1,0.1,0.05,-0.1,-0.1
311,Adama Boiro,ESP,DF,Athletic Club,La Liga,22,2002,6.7,0,2,0,0,0.3,0,0,0,13.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
312,Willy Boly,CIV,DF,Nott'ham Forest,Premier League,33,1991,1.3,0,1,1,100,0.78,0.78,0,0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
313,Moïse Bombito,CAN,DF,Nice,Ligue 1,24,2000,13,0,4,1,25,0.31,0.08,0,0,9.4,0,0,0,0.6,0.6,0.15,-0.6,-0.6
314,Warren Bondo,FRA,MF,Monza,Serie A,21,2003,18,0,13,1,7.7,0.72,0.06,0,0,25.9,0,0,0,0.4,0.4,0.03,-0.4,-0.4
315,Victor Boniface,NGA,FW,Leverkusen,Bundesliga,24,2000,7.3,6,40,14,35,5.47,1.91,0.15,0.43,14.7,0,0,1,6.5,5.7,0.14,-0.5,0.3
316,Kevin Bonifazi,ITA,DF,Lecce,Serie A,28,1996,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Ange-Yoan Bonny,FRA,FW,Parma,Serie A,21,2003,15.9,4,43,12,27.9,2.7,0.75,0.07,0.25,17.4,0,1,2,6.2,4.6,0.11,-2.2,-1.6
318,Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,25,1999,7.4,2,7,2,28.6,0.95,0.27,0.29,1,8.1,0,0,0,0.9,0.9,0.13,1.1,1.1
319,Sven Botman,NED,DF,Newcastle Utd,Premier League,25,2000,2.5,0,1,0,0,0.4,0,0,0,11.7,0,0,0,0,0,0.03,0,0
320,Saïmon Bouabré,FRA,"MF,FW",Monaco,Ligue 1,18,2006,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Ayyoub Bouaddi,FRA,MF,Lille,Ligue 1,17,2007,7.6,0,1,1,100,0.13,0.13,0,0,12.6,0,0,0,0,0,0.04,0,0
322,Badredine Bouanani,ALG,"MF,FW",Nice,Ligue 1,20,2004,7.4,2,22,8,36.4,2.98,1.08,0.09,0.25,19.8,1,0,0,1.3,1.3,0.06,0.7,0.7
323,Benjamin Bouchouari,MAR,MF,Saint-Étienne,Ligue 1,23,2001,10.1,1,5,1,20,0.49,0.1,0.2,1,21.9,0,0,0,0.2,0.2,0.03,0.8,0.8
324,Hicham Boudaoui,ALG,MF,Nice,Ligue 1,25,1999,14.9,1,22,13,59.1,1.48,0.87,0.05,0.08,20.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3
325,Carlo Boukhalfa,MAR,MF,St. Pauli,Bundesliga,25,1999,12.8,1,14,2,14.3,1.09,0.16,0.07,0.5,18,0,0,0,0.8,0.8,0.06,0.2,0.2
326,Benjamin Bourigeaud,FRA,MF,Rennes,Ligue 1,31,1994,0.9,1,2,1,50,2.25,1.13,0.5,1,16.1,1,0,0,0.2,0.2,0.08,0.8,0.8
327,Edoardo Bove,ITA,"MF,FW",Fiorentina,Serie A,22,2002,9.3,1,7,2,28.6,0.75,0.22,0.14,0.5,14.6,0,0,0,0.6,0.6,0.08,0.4,0.4
328,Jarrod Bowen,ENG,"FW,MF",West Ham,Premier League,28,1996,18.4,5,49,20,40.8,2.66,1.09,0.08,0.2,18.8,0,1,1,4.7,3.9,0.08,0.3,0.1
329,Enzo Boyomo,CMR,DF,Osasuna,La Liga,23,2001,17.7,1,4,2,50,0.23,0.11,0.25,0.5,14.5,0,0,0,0.4,0.4,0.09,0.6,0.6
330,Enzo Boyomo,CMR,DF,Valladolid,La Liga,23,2001,3,0,2,0,0,0.67,0,0,0,11.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
331,Domagoj Bradarić,CRO,DF,Hellas Verona,Serie A,25,1999,9.9,0,5,3,60,0.5,0.3,0,0,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
332,Conor Bradley,NIR,DF,Liverpool,Premier League,21,2003,2.7,0,6,3,50,2.24,1.12,0,0,14.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4
333,Bilal Brahimi,ALG,MF,Nice,Ligue 1,24,2000,0.8,0,1,1,100,1.18,1.18,0,0,23,1,0,0,0,0,0.04,0,0
334,Julian Brandt,GER,MF,Dortmund,Bundesliga,28,1996,14.5,2,26,9,34.6,1.8,0.62,0.08,0.22,17.7,2,0,0,3.1,3.1,0.12,-1.1,-1.1
335,Jarrad Branthwaite,ENG,DF,Everton,Premier League,22,2002,13.1,0,4,1,25,0.31,0.08,0,0,10.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3
336,Darko Brašanac,SRB,MF,Leganés,La Liga,32,1992,12.3,1,8,2,25,0.65,0.16,0.13,0.5,12.5,0,0,0,1.5,1.5,0.19,-0.5,-0.5
337,Lilian Brassier,FRA,DF,Marseille,Ligue 1,25,1999,8.7,0,5,1,20,0.58,0.12,0,0,11.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
338,Matthias Braunöder,AUT,MF,Como,Serie A,22,2002,3,0,2,0,0,0.67,0,0,0,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
339,Iker Bravo,ESP,"FW,MF",Udinese,Serie A,20,2005,3,1,4,1,25,1.32,0.33,0.25,1,14.8,0,0,0,0.5,0.5,0.14,0.5,0.5
340,James Bree,ENG,DF,Southampton,Premier League,27,1997,6.4,0,2,1,50,0.31,0.16,0,0,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
341,Tim Breithaupt,GER,MF,Augsburg,Bundesliga,22,2002,1.3,0,1,0,0,0.75,0,0,0,7.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
342,Gleison Bremer,BRA,DF,Juventus,Serie A,27,1997,6,0,3,0,0,0.5,0,0,0,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
343,Brenner,BRA,"MF,FW",Udinese,Serie A,25,2000,4.3,1,7,4,57.1,1.63,0.93,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,0.4,0.4
344,Ben Brereton,CHI,FW,Southampton,Premier League,25,1999,5,0,11,1,9.1,2.2,0.2,0,0,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9
345,Marco Brescianini,ITA,MF,Atalanta,Serie A,25,2000,6.3,3,12,5,41.7,1.91,0.8,0.25,0.6,15.6,0,0,0,1.8,1.8,0.15,1.2,1.2
346,Maximilian Breunig,GER,"FW,MF",Heidenheim,Bundesliga,24,2000,3.9,2,10,2,20,2.57,0.51,0.1,0.5,15.2,0,1,1,3.4,2.7,0.27,-1.4,-1.7
347,Nathan Broadhead,WAL,"MF,FW",Ipswich Town,Premier League,26,1998,3.5,0,6,4,66.7,1.7,1.13,0,0,18.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7
348,Armando Broja,ALB,FW,Everton,Premier League,23,2001,1.8,0,4,0,0,2.26,0,0,0,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
349,David Brooks,WAL,FW,Bournemouth,Premier League,27,1997,5.6,2,18,9,50,3.2,1.6,0.11,0.22,16.4,0,0,0,1.6,1.6,0.09,0.4,0.4
350,Moritz Broschinski,GER,"FW,MF",Bochum,Bundesliga,24,2000,12.1,1,32,10,31.3,2.65,0.83,0.03,0.1,17.8,0,0,0,3.5,3.5,0.11,-2.5,-2.5
351,Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2003,9,3,10,5,50,1.11,0.56,0.3,0.6,14.2,0,0,0,2.1,2.1,0.21,0.9,0.9
352,Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,Bundesliga,26,1998,4.4,2,14,6,42.9,3.15,1.35,0.14,0.33,15.2,0,0,0,2.3,2.3,0.16,-0.3,-0.3
353,Jacob Bruun Larsen,DEN,MF,Stuttgart,Bundesliga,26,1998,2.1,1,2,2,100,0.93,0.93,0.5,0.5,21.8,0,0,0,0.2,0.2,0.1,0.8,0.8
354,Tajon Buchanan,CAN,"DF,FW",Inter,Serie A,25,1999,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Ante Budimir,CRO,FW,Osasuna,La Liga,33,1991,17.2,10,44,14,31.8,2.56,0.82,0.14,0.43,12.7,0,4,4,8.7,5.6,0.13,1.3,0.4
356,Emi Buendía,ARG,"MF,FW",Aston Villa,Premier League,28,1996,1.1,0,5,0,0,4.59,0,0,0,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7
357,Manu Bueno,ESP,MF,Sevilla,La Liga,20,2004,0.8,1,3,1,33.3,3.65,1.22,0.33,1,25.9,0,0,0,0.1,0.1,0.04,0.9,0.9
358,Santiago Bueno,URU,DF,Wolves,Premier League,26,1998,14.8,0,6,3,50,0.41,0.2,0,0,14,0,0,0,0.4,0.4,0.07,-0.4,-0.4
359,Marius Bülter,GER,FW,Hoffenheim,Bundesliga,31,1993,9,4,15,7,46.7,1.66,0.77,0.27,0.57,13.5,0,0,0,2.4,2.4,0.16,1.6,1.6
360,Facundo Buonanotte,ARG,"FW,MF",Leicester City,Premier League,20,2004,12.7,4,24,10,41.7,1.88,0.79,0.17,0.4,17.4,0,0,0,3.2,3.2,0.13,0.8,0.8
361,Alessandro Buongiorno,ITA,DF,Napoli,Serie A,25,1999,15,1,7,3,42.9,0.47,0.2,0.14,0.33,10.2,0,0,0,0.8,0.8,0.11,0.2,0.2
362,Cameron Burgess,AUS,DF,Ipswich Town,Premier League,29,1995,10,0,9,1,11.1,0.9,0.1,0,0,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7
363,Jonathan Burkardt,GER,FW,Mainz 05,Bundesliga,24,2000,12.5,12,33,15,45.5,2.64,1.2,0.33,0.73,11.9,0,1,1,8.7,7.9,0.24,3.3,3.1
364,Oliver Burke,SCO,"FW,MF",Werder Bremen,Bundesliga,27,1997,1.9,2,11,3,27.3,5.69,1.55,0.18,0.67,12.3,0,0,0,1.6,1.6,0.14,0.4,0.4
365,Dan Burn,ENG,DF,Newcastle Utd,Premier League,32,1992,22,0,13,3,23.1,0.59,0.14,0,0,11,0,0,0,1,1,0.07,-1,-1
366,Rareș-Cătălin Burnete,ROU,FW,Lecce,Serie A,21,2004,0.2,0,1,0,0,4.74,0,0,0,16,0,0,0,0.1,0.1,0.08,-0.1,-0.1
367,Wes Burns,WAL,"FW,DF",Ipswich Town,Premier League,30,1994,10.3,0,7,1,14.3,0.68,0.1,0,0,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5
368,Marnon Busch,GER,DF,Heidenheim,Bundesliga,30,1994,7.6,0,7,1,14.3,0.92,0.13,0,0,27.3,1,0,0,0.1,0.1,0.02,-0.1,-0.1
369,Gianluca Busio,USA,MF,Venezia,Serie A,22,2002,17.5,1,23,5,21.7,1.31,0.28,0.04,0.2,19.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5
370,Aurélio Buta,POR,DF,Reims,Ligue 1,27,1997,13.8,0,6,1,16.7,0.43,0.07,0,0,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
371,Jean Butez,FRA,GK,Como,Serie A,29,1995,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Marcin Bułka,POL,GK,Nice,Ligue 1,25,1999,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Pau Cabanes,ESP,"MF,FW",Villarreal,La Liga,19,2005,1.8,1,4,2,50,2.21,1.1,0.25,0.5,14.2,0,0,0,0.5,0.5,0.12,0.5,0.5
374,Rémy Cabella,FRA,"FW,MF",Lille,Ligue 1,34,1990,7.7,0,19,6,31.6,2.46,0.78,0,0,14.7,0,0,0,2.4,2.4,0.12,-2.4,-2.4
375,Leandro Cabrera,URU,DF,Espanyol,La Liga,33,1991,16,2,10,3,30,0.62,0.19,0.2,0.67,11.1,0,0,0,0.6,0.6,0.06,1.4,1.4
376,Liberato Cacace,NZL,"DF,MF",Empoli,Serie A,24,2000,10.4,2,16,8,50,1.53,0.77,0.13,0.25,15.8,0,0,0,1.5,1.5,0.1,0.5,0.5
377,Anthony Caci,FRA,DF,Mainz 05,Bundesliga,27,1997,18.1,1,19,8,42.1,1.05,0.44,0.05,0.13,17.8,1,0,0,2,2,0.1,-1,-1
378,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,Ligue 1,27,1997,8.1,1,23,10,43.5,2.83,1.23,0.04,0.1,20.3,2,0,0,1.5,1.5,0.06,-0.5,-0.5
379,Moisés Caicedo,ECU,MF,Chelsea,Premier League,23,2001,22.6,1,12,2,16.7,0.53,0.09,0.08,0.5,24.6,0,0,0,0.6,0.6,0.05,0.4,0.4
380,Tom Cairney,SCO,MF,Fulham,Premier League,34,1991,4.4,1,4,1,25,0.91,0.23,0.25,1,23.5,1,0,0,0.1,0.1,0.04,0.9,0.9
381,Jens Cajuste,SWE,MF,Ipswich Town,Premier League,25,1999,10.7,0,3,0,0,0.28,0,0,0,21.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
382,Davide Calabria,ITA,DF,Milan,Serie A,28,1996,3.5,0,2,0,0,0.57,0,0,0,16.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3
383,Riccardo Calafiori,ITA,DF,Arsenal,Premier League,22,2002,8.4,2,7,5,71.4,0.84,0.6,0.29,0.4,13,0,0,0,0.7,0.7,0.1,1.3,1.3
384,Luca Caldirola,ITA,DF,Monza,Serie A,34,1991,5.4,0,2,1,50,0.37,0.18,0,0,9.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2
385,Fernando Calero,ESP,"DF,MF",Espanyol,La Liga,29,1995,2.5,0,1,0,0,0.4,0,0,0,7.3,0,0,0,0.2,0.2,0.16,-0.2,-0.2
386,Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,28,1996,13.9,1,7,1,14.3,0.51,0.07,0.14,1,10.4,0,0,0,1.7,1.7,0.25,-0.7,-0.7
387,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,30,1994,9.7,4,18,6,33.3,1.86,0.62,0.06,0.17,30.8,3,3,4,3.6,0.5,0.03,0.4,0.5
388,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,27,1997,17.5,3,46,17,37,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1
389,Drissa Camara,CIV,"MF,FW",Parma,Serie A,22,2002,3.2,0,13,5,38.5,4.08,1.57,0,0,20.4,0,0,0,1.1,1.1,0.08,-1.1,-1.1
390,Issiaga Camara,GUI,MF,Nice,Ligue 1,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Lamine Camara,SEN,MF,Monaco,Ligue 1,21,2004,13.2,2,18,7,38.9,1.36,0.53,0.11,0.29,21.9,2,0,0,1.5,1.5,0.08,0.5,0.5
392,Mahdi Camara,FRA,MF,Brest,Ligue 1,26,1998,15.5,3,24,10,41.7,1.55,0.64,0.13,0.3,17.2,0,0,0,1.8,1.8,0.07,1.2,1.2
393,Francesco Camarda,ITA,"FW,MF",Milan,Serie A,16,2008,1.6,0,3,1,33.3,1.86,0.62,0,0,10.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3
394,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,22,2002,5.8,0,3,0,0,0.52,0,0,0,20.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
395,Nicolò Cambiaghi,ITA,FW,Bologna,Serie A,24,2000,0.2,0,1,0,0,6,0,0,0,13.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
396,Andrea Cambiaso,ITA,"DF,FW",Juventus,Serie A,24,2000,16.7,2,11,4,36.4,0.66,0.24,0.18,0.5,23.5,0,0,0,0.5,0.5,0.04,1.5,1.5
397,Axel Camblan,FRA,"MF,FW",Brest,Ligue 1,21,2003,0.3,0,1,0,0,3.46,0,0,0,16,0,0,0,0,0,0.05,0,0
398,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,23,2001,12.4,3,32,9,28.1,2.58,0.73,0.09,0.33,16.3,0,0,0,4.1,4.1,0.13,-1.1,-1.1
399,José Campaña,ESP,MF,Las Palmas,La Liga,31,1993,8,0,3,1,33.3,0.38,0.13,0,0,43,2,0,0,0.1,0.1,0.03,-0.1,-0.1
400,Cole Campbell,USA,"MF,FW",Dortmund,Bundesliga,18,2006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Emre Can,GER,"DF,MF",Dortmund,Bundesliga,31,1994,11.7,2,5,0,0,0.43,0,0,0,28,0,2,2,1.8,0.2,0.05,0.2,-0.2
402,Peio Canales,ESP,MF,Athletic Club,La Liga,20,2005,0.2,0,1,0,0,4.5,0,0,0,27.8,0,0,0,0,0,0.02,0,0
